name,link,image,labelimage,parentsite,sale,price,selling price, discount,additonal charges, category,keywords,description,short description
Bel Casa Lock & Store Rectangle - 360 ml  750 ml  1000 ml  1500 ml Polypropylene Multi-purpose Storage Container,http://www.flipkart.com/bel-casa-lock-store-rectangle-360-ml-750-1000-1500-ml-polypropylene-multi-purpose-storage-container/p/itmeagfmfue2yzgy?pid=CNTEAGFMZADAQX8Y&al=r2C8PWNyaAO1aqqxRFWB98ldugMWZuE75aUsiwTbcENc1%2Fhejw7fcZQlK44qloFZtVbFCoZ7jMc%3D&ref=L%3A-7621219442053525794&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/container/x/8/y/ratan-40015-bel-casa-400x400-imaeagpcseptzbtr.jpeg,http://img5a.flixcart.com/image/container/x/8/y/ratan-40015-bel-casa-400x400-imaeagpcseptzbtr.jpeg,www.flipkart.com,on,Rs. 879,Rs. 483,45.0,Rs 40 Delivery,,	Kitchen & Dining	Containers & Bottles	Containers & Jars	Kitchen Containers	Bel Casa Kitchen Containers	Bel Casa Lock & Store Rectangle - 360 ml, 750 m...,,Airtight	Pack of 4
Falken SINCERA SN835 4 Wheeler Tyre,http://www.flipkart.com/falken-sincera-sn835-4-wheeler-tyre/p/itme62kty7tzqvr6?pid=VTEE62KTZGBYWE2R&al=r2C8PWNyaAPDHGHt5K2lBMldugMWZuE7RHBP1rvF7Hk%2B%2BKN3MGe1uPJ9AU7ZZ1wpgXnvsw4vEkY%3D&ref=L%3A-6202977200961401730&srno=b_1&affid=bhumitkat,http://img6a.flixcart.com/image/vehicle-tire/e/2/r/falken-sincera-sn835-155-70r13-400x400-imaed6ffzrjkxce9.jpeg,http://img6a.flixcart.com/image/vehicle-tire/e/2/r/falken-sincera-sn835-155-70r13-400x400-imaed6ffzrjkxce9.jpeg,www.flipkart.com,on,Rs. 3965,Rs. 2750,30.0,Rs 250 Delivery,,	Automotive	Car Accessories	Tyres	Falken SINCERA SN835 4 Wheeler Tyre (155/70R13, ...,,
Falken SINCERA SN835 4 Wheeler Tyre,http://www.flipkart.com/falken-sincera-sn835-4-wheeler-tyre/p/itme62ktgkyeyrqg?pid=VTEE62KTTNMBR9W3&al=r2C8PWNyaAPDHGHt5K2lBMldugMWZuE7RHBP1rvF7Hm8HgbK0hQSzRPK%2FXVMAsR1vPgk1E0IpFU%3D&ref=L%3A-6202977200961401730&srno=b_3&affid=bhumitkat,http://img6a.flixcart.com/image/vehicle-tire/9/w/3/falken-sincera-sn835-145-80r12-400x400-imae9qrrfdba7dhn.jpeg,http://img6a.flixcart.com/image/vehicle-tire/9/w/3/falken-sincera-sn835-145-80r12-400x400-imae9qrrfdba7dhn.jpeg,www.flipkart.com,on,Rs. 3400,Rs. 2120,37.0,Rs 250 Delivery,,	Automotive	Car Accessories	Tyres	Falken SINCERA SN835 4 Wheeler Tyre (145/80R12, ...,,
IWS Cotton Floral Double Bedsheet,http://www.flipkart.com/iws-cotton-floral-double-bedsheet/p/itme3hvsyyjytyvv?pid=BDSE3HVSJSTYYFXB&al=r2C8PWNyaAOoQf3OuBeEGsldugMWZuE7mxWx381qOwTWmPn3659ghYsTnlamQH1p6CeHow8jD%2Bw%3D&ref=L%3A8911929759138399738&srno=b_1&affid=bhumitkat,http://img6a.flixcart.com/image/bedsheet/f/x/b/cb0000037-iws-flat-designer-400x400-imaeenrkebzpf9uv.jpeg,http://img6a.flixcart.com/image/bedsheet/f/x/b/cb0000037-iws-flat-designer-400x400-imaeenrkebzpf9uv.jpeg,www.flipkart.com,on,Rs. 1199,Rs. 399,66.0,Rs 40 Delivery,,	Home Furnishing	Bed Linen	Bedsheets	IWS Cotton Floral Double Bedsheet (1 Double Beds...,,Sheet Length: 230 cm
IWS Cotton Printed Double Bedsheet,http://www.flipkart.com/iws-cotton-printed-double-bedsheet/p/itme3hvsgtuu8v6c?pid=BDSE3HVSUJG9STZF&al=r2C8PWNyaAOoQf3OuBeEGsldugMWZuE7mxWx381qOwTF2nSfnRW%2FhMPTo1LfPUEXIqTnc%2FmUoF0%3D&ref=L%3A8911929759138399738&srno=b_2&affid=bhumitkat,http://img6a.flixcart.com/image/bedsheet/t/z/f/cb0000039-iws-flat-designer-400x400-imaeenrmkewj4bcc.jpeg,http://img6a.flixcart.com/image/bedsheet/t/z/f/cb0000039-iws-flat-designer-400x400-imaeenrmkewj4bcc.jpeg,www.flipkart.com,on,Rs. 1199,Rs. 399,66.0,Rs 40 Delivery,,	Home Furnishing	Bed Linen	Bedsheets	IWS Cotton Printed Double Bedsheet (1 Double Bed...,,Sheet Length: 230 cm
NanoNine Rio Chapati Pot Casserole,http://www.flipkart.com/nanonine-rio-chapati-pot-casserole/p/itmdyastvzmfc6te?pid=CRLDYASTFN7R2CJP&al=r2C8PWNyaAPBcLLtqNd6ccldugMWZuE75aUsiwTbcEM%2FNJvLRlKER%2BTsRipISusIh%2BbZWN6iv84%3D&ref=L%3A5465755035077790750&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/casserole/c/j/p/ss086-nano-9-400x400-imadyb5cmrapfvqf.jpeg,http://img5a.flixcart.com/image/casserole/c/j/p/ss086-nano-9-400x400-imadyb5cmrapfvqf.jpeg,www.flipkart.com,on,Rs. 585,Rs. 349,40.0,Rs 40 Delivery,,	Kitchen & Dining	Cookware	Casserole & Sets	NanoNine Casserole & Sets	NanoNine Rio Chapati Pot Casserole (1150 ml),,Pack of 1	Thermoware Casserole
Praylady Green Apple Handi .500L L  .750L L  1.200L L  1.600L L,http://www.flipkart.com/praylady-green-apple-handi-500l-l-750l-1-200l-1-600l-l/p/itme9hux4yxray6q?pid=PTPE9HUXZDRPWSUY&al=r2C8PWNyaAPBcLLtqNd6ccldugMWZuE7JTWSsYnGIuWwDAah5BDlRmJDXxD7XyBuMJrBo%2Bp8%2FcE%3D&ref=L%3A5465755035077790750&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/pot-pan/s/u/y/plss0159-praylady-400x400-imaebvk6tdeyamvm.jpeg,http://img5a.flixcart.com/image/pot-pan/s/u/y/plss0159-praylady-400x400-imaebvk6tdeyamvm.jpeg,www.flipkart.com,on,Rs. 792,Rs. 399,49.0,Rs 40 Delivery,,,,Induction Bottom	Handi	Pack of 4
Kelvinator KSP252FRC 245 L Double Door Refrigerator,http://www.flipkart.com/kelvinator-ksp252frc-245-l-double-door-refrigerator/p/itmeakwtavzzkgq4?pid=RFREAKWTHG4PGZT7&al=r2C8PWNyaAPZhnaHf8qOBMldugMWZuE7%2BW7da8XnwKTV%2FMUkIUibS5ZCwI8H1cDOudAvZ2R%2FvqE%3D&ref=L%3A-5741425691580610019&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/refrigerator-new/z/t/7/kelvinator-ksp252frp-400x400-imaebf29au4z7y8z.jpeg,http://img5a.flixcart.com/image/refrigerator-new/z/t/7/kelvinator-ksp252frp-400x400-imaebf29au4z7y8z.jpeg,www.flipkart.com,on,Rs. 21990,Rs. 14990,31.0,no additional charges,,	Home & Kitchen	Home Appliances	Refrigerators	Kelvinator Refrigerators	Kelvinator KSP252FRC 245 L Double Door Refrigera...,,2 Star Rating	Frost Free	Color: Red Creeper	Top Freezer Refrigerator
LG GL-B292SGSM 258 L Double Door Refrigerator,http://www.flipkart.com/lg-gl-b292sgsm-258-l-double-door-refrigerator/p/itme5sgwkz4hfgru?pid=RFRE5SGWU8JZ3YQJ&al=r2C8PWNyaANbbdSxlPHd4cldugMWZuE7%2BW7da8XnwKTVVBgweqd6K7RKx76amMPNLNMdReq2LEY%3D&ref=L%3A-5741425691580610019&srno=b_2&affid=bhumitkat,http://img6a.flixcart.com/image/refrigerator-new/y/q/j/lg-gl-b292sgsm-agszebn-400x400-imae6xhehmhmsady.jpeg,http://img6a.flixcart.com/image/refrigerator-new/y/q/j/lg-gl-b292sgsm-agszebn-400x400-imae6xhehmhmsady.jpeg,www.flipkart.com,on,Rs. 22290,Rs. 18990,14.0,no additional charges,,	Home & Kitchen	Home Appliances	Refrigerators	LG Refrigerators	LG GL-B292SGSM 258 L Double Door Refrigerator (G...,,3 Star Rating	Frost Free	Color: Graphite Steel	Top Freezer Refrigerator
IWS Cotton Floral Double Bedsheet,http://www.flipkart.com/iws-cotton-floral-double-bedsheet/p/itme3hvsyyjytyvv?pid=BDSE3HVSJSTYYFXB&al=r2C8PWNyaAN2DmYW63ywasldugMWZuE7mxWx381qOwTWmPn3659ghYsTnlamQH1p6CeHow8jD%2Bw%3D&ref=L%3A2598582783701241028&srno=b_1&affid=bhumitkat,http://img6a.flixcart.com/image/bedsheet/f/x/b/cb0000037-iws-flat-designer-400x400-imaeenrkebzpf9uv.jpeg,http://img6a.flixcart.com/image/bedsheet/f/x/b/cb0000037-iws-flat-designer-400x400-imaeenrkebzpf9uv.jpeg,www.flipkart.com,on,Rs. 1199,Rs. 399,66.0,Rs 40 Delivery,,	Home Furnishing	Bed Linen	Bedsheets	IWS Cotton Floral Double Bedsheet (1 Double Beds...,,Sheet Length: 230 cm
